province,current_strikes,historical_mean_strikes,strike_anomaly,strike_anomaly_percent,area_km2,current_density_km2,historical_mean_density_km2,density_anomaly_km2,density_anomaly_percent
Vaslui,117.0,0.0,117.0,100.0,10874.766533152213,0.010758851663005387,0.0,0.010758851663005387,
Hessen,116.0,0.0,116.0,100.0,52100.53512086915,0.002226464655898238,0.0,0.002226464655898238,
Pisa,114.0,0.0,114.0,100.0,4626.5879645688965,0.02464018859535992,0.0,0.02464018859535992,
Fermo,114.0,0.0,114.0,100.0,1663.9389900116591,0.06851212735822797,0.0,0.06851212735822797,
Crnomelj,113.0,0.0,113.0,100.0,639.2062918736401,0.17678173922345888,0.0,0.17678173922345888,
Rogaška Slatina,112.0,0.0,112.0,100.0,139.65296108783213,0.8019880074691699,0.0,0.8019880074691699,
West Herzegovina,112.0,0.0,112.0,100.0,2857.6814413051043,0.03919261201796151,0.0,0.03919261201796151,
Alpes-Maritimes,111.0,0.0,111.0,100.0,8024.902125547597,0.01383194439800419,0.0,0.01383194439800419,
Jura,110.0,0.0,110.0,100.0,1846.4348185219806,0.059574266525179546,0.0,0.059574266525179546,
Jura,110.0,0.0,110.0,100.0,10526.980850075899,0.010449339802798911,0.0,0.010449339802798911,
Burgenland,109.0,0.0,109.0,100.0,8737.366429652286,0.012475154942578937,0.0,0.012475154942578937,
Sarajevo-romanija,109.0,0.0,109.0,100.0,4177.004495132195,0.026095255613688376,0.0,0.026095255613688376,
Haute-Corse,108.0,0.0,108.0,100.0,8610.96345774979,0.01254215054214415,0.0,0.01254215054214415,
Sachsen-Anhalt,106.0,0.0,106.0,100.0,54445.24930507356,0.0019469099940391354,0.0,0.0019469099940391354,
Namur,106.0,0.0,106.0,100.0,9092.848782091985,0.011657512682797817,0.0,0.011657512682797817,
Pljevlja,104.0,0.0,104.0,100.0,2502.8813999154927,0.04155210870299786,0.0,0.04155210870299786,
L'Aquila,100.0,0.0,100.0,100.0,9263.957085043148,0.010794523234725696,0.0,0.010794523234725696,
Budva,98.0,0.0,98.0,100.0,224.590446272424,0.4363498164170698,0.0,0.4363498164170698,
Allier,95.0,0.0,95.0,100.0,15477.011812634079,0.006138135781640375,0.0,0.006138135781640375,
Lucerne,94.0,0.0,94.0,100.0,3150.9725001941665,0.02983205978287897,0.0,0.02983205978287897,
Appenzell Innerrhoden,94.0,0.0,94.0,100.0,361.8395429252337,0.2597836578060875,0.0,0.2597836578060875,
Nordrhein-Westfalen,94.0,0.0,94.0,100.0,88904.74752013819,0.001057311365500562,0.0,0.001057311365500562,
Meuse,93.0,0.0,93.0,100.0,14417.857895567791,0.006450334069986168,0.0,0.006450334069986168,
Črna na Koroškem,93.0,0.0,93.0,100.0,333.64532334733883,0.2787391085448636,0.0,0.2787391085448636,
Tolmin,92.0,0.0,92.0,100.0,812.2775356154038,0.11326178056900006,0.0,0.11326178056900006,
Noord-Brabant,91.0,0.0,91.0,100.0,13436.298686791353,0.006772698502859138,0.0,0.006772698502859138,
Gorj,90.0,0.0,90.0,100.0,11102.156128789875,0.008106533447733988,0.0,0.008106533447733988,
Vicenza,87.0,0.0,87.0,100.0,5621.673110816816,0.015475819793328236,0.0,0.015475819793328236,
Savoie,86.0,0.0,86.0,100.0,12540.126166087115,0.006857985227658559,0.0,0.006857985227658559,
Corrèze,86.0,0.0,86.0,100.0,11971.120022713436,0.0071839560406066994,0.0,0.0071839560406066994,
Rogatec,86.0,0.0,86.0,100.0,74.05219321282985,1.1613430510131082,0.0,1.1613430510131082,
Salzburg,85.0,0.0,85.0,100.0,15714.480408186193,0.00540902389338439,0.0,0.00540902389338439,
Splitsko-Dalmatinska,85.0,0.0,85.0,100.0,7985.4059937599095,0.0106444180879998,0.0,0.0106444180879998,
Sibiu,84.0,0.0,84.0,100.0,11478.426791335098,0.007318076033155555,0.0,0.007318076033155555,
Plovdiv,83.0,0.0,83.0,100.0,10178.770984518702,0.008154226097260466,0.0,0.008154226097260466,
Mures,82.0,0.0,82.0,100.0,13850.286527498747,0.0059204551355089225,0.0,0.0059204551355089225,
Mecklenburg-Vorpommern,82.0,0.0,82.0,100.0,66251.5291295161,0.0012377072812870022,0.0,0.0012377072812870022,
Primorsko-Goranska,81.0,0.0,81.0,100.0,6841.618242510239,0.011839304259437971,0.0,0.011839304259437971,
Maramures,81.0,0.0,81.0,100.0,14187.01477997985,0.00570944636741367,0.0,0.00570944636741367,
Šentilj,80.0,0.0,80.0,100.0,156.9524244083135,0.5097085967393475,0.0,0.5097085967393475,
Prevalje,80.0,0.0,80.0,100.0,135.9174352365682,0.5885926250797604,0.0,0.5885926250797604,
Treviso,80.0,0.0,80.0,100.0,5166.361754092654,0.015484784807534263,0.0,0.015484784807534263,
Vrhnika,79.0,0.0,79.0,100.0,266.0604631343624,0.29692498866358974,0.0,0.29692498866358974,
Roma,78.0,0.0,78.0,100.0,9680.826241960802,0.008057163515848984,0.0,0.008057163515848984,
Vercelli,78.0,0.0,78.0,100.0,4241.572079156485,0.018389408111982794,0.0,0.018389408111982794,
Trenciansky,78.0,0.0,78.0,100.0,10423.10760671654,0.0074833728042621025,0.0,0.0074833728042621025,
Šmarje pri Jelšah,77.0,0.0,77.0,100.0,231.09622009175288,0.3331945454124193,0.0,0.3331945454124193,
Minsk,77.0,0.0,77.0,100.0,112738.80504622836,0.0006829946438444711,0.0,0.0006829946438444711,
Liberecký,76.0,0.0,76.0,100.0,7960.508751887307,0.009547128502557282,0.0,0.009547128502557282,
Alpes-de-Haute-Provence,76.0,0.0,76.0,100.0,13511.786583389337,0.005624718798728682,0.0,0.005624718798728682,
Krško,71.0,0.0,71.0,100.0,711.3524689722233,0.09980987358149226,0.0,0.09980987358149226,
Livorno,70.0,0.0,70.0,100.0,2288.991373120123,0.030581155010900293,0.0,0.030581155010900293,
Jihomoravský,69.0,0.0,69.0,100.0,16509.1261299646,0.004179506501847046,0.0,0.004179506501847046,
Creuse,69.0,0.0,69.0,100.0,11628.693116219072,0.005933598841280155,0.0,0.005933598841280155,
Bar,67.0,0.0,67.0,100.0,1046.8973800921515,0.0639986318373463,0.0,0.0639986318373463,
Saarland,66.0,0.0,66.0,100.0,6254.903563219429,0.010551721434699384,0.0,0.010551721434699384,
Viterbo,63.0,0.0,63.0,100.0,6663.818903262192,0.009454038429699689,0.0,0.009454038429699689,
Sisacko-Moslavacka,63.0,0.0,63.0,100.0,10265.467179984782,0.00613708065063371,0.0,0.00613708065063371,
Grosseto,63.0,0.0,63.0,100.0,8338.338801892569,0.007555461764842269,0.0,0.007555461764842269,
Yambol,61.0,0.0,61.0,100.0,8019.169959177159,0.007606772310666822,0.0,0.007606772310666822,
Lower Silesian,61.0,0.0,61.0,100.0,49733.1569356463,0.0012265459053591302,0.0,0.0012265459053591302,
Firenze,61.0,0.0,61.0,100.0,6806.038315818511,0.008962629531224434,0.0,0.008962629531224434,
Idrija,60.0,0.0,60.0,100.0,621.4246729947872,0.09655232984369017,0.0,0.09655232984369017,
Brodsko-Posavska,60.0,0.0,60.0,100.0,3712.0986057421196,0.016163363739095733,0.0,0.016163363739095733,
Brodsko-Posavska,60.0,0.0,60.0,100.0,4857.826753724052,0.012351202099581564,0.0,0.012351202099581564,
Burgas,59.0,0.0,59.0,100.0,14080.190455811888,0.0041902842284101734,0.0,0.0041902842284101734,
Volyn,58.0,0.0,58.0,100.0,50442.02807925729,0.0011498348145095834,0.0,0.0011498348145095834,
Ravne na Koroškem,58.0,0.0,58.0,100.0,129.49993081831528,0.4478766871418051,0.0,0.4478766871418051,
Aude,57.0,0.0,57.0,100.0,11935.843008776488,0.004775531980278863,0.0,0.004775531980278863,
Středočeský,57.0,0.0,57.0,100.0,26357.466817980454,0.002162575045380155,0.0,0.002162575045380155,
Arezzo,56.0,0.0,56.0,100.0,6153.5796819712405,0.00910039406234859,0.0,0.00910039406234859,
Bosnian Podrinje,55.0,0.0,55.0,100.0,1037.487326383711,0.05301269577114665,0.0,0.05301269577114665,
Shkodër,55.0,0.0,55.0,100.0,6547.302628621859,0.008400405956426204,0.0,0.008400405956426204,
Zürich,54.0,0.0,54.0,100.0,3795.213577294451,0.014228448254681825,0.0,0.014228448254681825,
Brežice,54.0,0.0,54.0,100.0,408.6706862187789,0.13213573133819412,0.0,0.13213573133819412,
Selnica ob Dravi,54.0,0.0,54.0,100.0,129.46636485203567,0.41709674989110446,0.0,0.41709674989110446,
Noord-Holland,52.0,0.0,52.0,100.0,9434.317003214328,0.00551179274369128,0.0,0.00551179274369128,
Nitriansky,52.0,0.0,52.0,100.0,13845.939297201267,0.0037556137495497297,0.0,0.0037556137495497297,
Genova,52.0,0.0,52.0,100.0,3642.793747876368,0.014274758221025918,0.0,0.014274758221025918,
Ascoli Piceno,52.0,0.0,52.0,100.0,2221.8816875686402,0.02340358637948114,0.0,0.02340358637948114,
Zagrebacka,50.0,0.0,50.0,100.0,5505.654276321136,0.009081572777833386,0.0,0.009081572777833386,
