province,current_strikes,historical_mean_strikes,strike_anomaly,strike_anomaly_percent,area_km2,current_density_km2,historical_mean_density_km2,density_anomaly_km2,density_anomaly_percent
Giurgiu,0.0,2.0,-2.0,-100.0,6505.804126597847,0.0,0.0003074178012558583,-0.0003074178012558583,-100.0
Vipava,0.0,2.0,-2.0,-100.0,224.3795630253016,0.0,0.008913467755414404,-0.008913467755414404,-100.0
Vinnytsya,0.0,2.0,-2.0,-100.0,61674.987288230855,0.0,3.2428056947190495e-05,-3.2428056947190495e-05,-100.0
Kyustendil,0.0,2.0,-2.0,-100.0,5800.327563889309,0.0,0.00034480811264026864,-0.00034480811264026864,-100.0
Cluj,0.0,2.0,-2.0,-100.0,14162.608755992831,0.0,0.00014121692086944865,-0.00014121692086944865,-100.0
Sveti Andraž v Slovenskih Goricah,0.0,2.0,-2.0,-100.0,37.05779914809434,0.0,0.05396974580188602,-0.05396974580188602,-100.0
Podlehnik,0.0,2.0,-2.0,-100.0,105.98886378981823,0.0,0.018869906974058243,-0.018869906974058243,-100.0
Gornji Petrovci,0.0,2.0,-2.0,-100.0,142.13276599564063,0.0,0.014071350726132652,-0.014071350726132652,-100.0
Grad,0.0,2.0,-2.0,-100.0,82.44514396031582,0.0,0.024258554281410206,-0.024258554281410206,-100.0
Oplotnica,0.0,2.0,-2.0,-100.0,65.88043906202198,0.0,0.03035802475628821,-0.03035802475628821,-100.0
Starše,0.0,2.0,-2.0,-100.0,71.91179276515963,0.0,0.027811850088779528,-0.027811850088779528,-100.0
Paris,0.0,2.0,-2.0,-100.0,298.6056326094299,0.0,0.006697797300481466,-0.006697797300481466,-100.0
Kauno,0.0,2.0,-2.0,-100.0,24917.580496299983,0.0,8.026461478862205e-05,-8.026461478862205e-05,-100.0
Isère,0.0,2.0,-2.0,-100.0,15999.165292967638,0.0,0.00012500652148891112,-0.00012500652148891112,-100.0
Pivka,0.0,2.0,-2.0,-100.0,457.8900031620561,0.0,0.004367861246562663,-0.004367861246562663,-100.0
Donduseni,0.0,2.0,-2.0,-100.0,1929.6576495625734,0.0,0.0010364532799138604,-0.0010364532799138604,-100.0
Zasavska,0.0,2.0,-2.0,-100.0,251.40564347720365,0.0,0.007955270901392279,-0.007955270901392279,-100.0
Brest,0.0,2.0,-2.0,-100.0,88253.85567723769,0.0,2.2661899411107964e-05,-2.2661899411107964e-05,-100.0
Medvode,0.0,2.0,-2.0,-100.0,164.79031826622398,0.0,0.012136635337817217,-0.012136635337817217,-100.0
Berane,0.0,2.0,-2.0,-100.0,1369.373797481164,0.0,0.0014605215929199276,-0.0014605215929199276,-100.0
Cahul,0.0,2.0,-2.0,-100.0,2959.2817576903467,0.0,0.0006758396677851166,-0.0006758396677851166,-100.0
Mozirje,0.0,2.5,-2.5,-100.0,173.89544116754388,0.0,0.014376455088269468,-0.014376455088269468,-100.0
Solcava,0.0,2.5,-2.5,-100.0,235.01778415966757,0.0,0.010637492855866335,-0.010637492855866335,-100.0
Vodice,0.0,3.0,-3.0,-100.0,64.63556950020117,0.0,0.04641407236290635,-0.04641407236290635,-100.0
Leova,0.0,3.0,-3.0,-100.0,1578.3645706478537,0.0,0.0019007015589361737,-0.0019007015589361737,-100.0
Drôme,1.0,4.0,-3.0,-75.0,12937.679768979984,7.72936119811567e-05,0.0003091744479246268,-0.0002318808359434701,-75.0
Dâmbovita,0.0,3.0,-3.0,-100.0,7730.734729064874,0.0,0.0003880614333746369,-0.0003880614333746369,-100.0
Ruše,0.0,3.0,-3.0,-100.0,111.29212320306502,0.0,0.026956085602987033,-0.026956085602987033,-100.0
Faetano,0.0,3.0,-3.0,-100.0,7.173372988823198,0.0,0.4182133014237915,-0.4182133014237915,-100.0
Vaud,0.0,3.0,-3.0,-100.0,7006.100559768979,0.0,0.0004281982501402924,-0.0004281982501402924,-100.0
Pleven,0.0,3.0,-3.0,-100.0,8431.49722203179,0.0,0.00035580869221671536,-0.00035580869221671536,-100.0
Sodražica,0.0,3.0,-3.0,-100.0,106.4487619675028,0.0,0.028182572953886063,-0.028182572953886063,-100.0
Schellenberg,0.0,3.0,-3.0,-100.0,5.686036397037887,0.0,0.5276083004960777,-0.5276083004960777,-100.0
Transcarpathia,0.0,3.0,-3.0,-100.0,29409.29282788277,0.0,0.00010200857319342675,-0.00010200857319342675,-100.0
Rîşcani,0.0,3.0,-3.0,-100.0,2360.8272018054245,0.0,0.0012707410342043556,-0.0012707410342043556,-100.0
Trbovlje,0.0,3.0,-3.0,-100.0,186.5721173049775,0.0,0.016079573107358223,-0.016079573107358223,-100.0
Ulcinj,0.0,3.0,-3.0,-100.0,537.1457489320738,0.0,0.005585076314881853,-0.005585076314881853,-100.0
Lovech,0.0,3.0,-3.0,-100.0,7739.3155731213055,0.0,0.00038763117638192967,-0.00038763117638192967,-100.0
Lovrenc na Pohorju,0.0,3.0,-3.0,-100.0,197.52441508497364,0.0,0.015187995867292763,-0.015187995867292763,-100.0
Celje,0.0,3.0,-3.0,-100.0,201.83311711533636,0.0,0.01486376489090077,-0.01486376489090077,-100.0
Prato,0.0,3.0,-3.0,-100.0,695.3539111533922,0.0,0.0043143497891942,-0.0043143497891942,-100.0
Trieste,0.0,3.0,-3.0,-100.0,360.87669176065486,0.0,0.008313088843071354,-0.008313088843071354,-100.0
Triesen,0.0,3.0,-3.0,-100.0,55.23675723265165,0.0,0.05431166039245031,-0.05431166039245031,-100.0
Bistrica ob Sotli,0.0,3.0,-3.0,-100.0,71.97110648988469,0.0,0.04168339416070587,-0.04168339416070587,-100.0
Mislinja,0.0,3.0,-3.0,-100.0,242.56210994803624,0.0,0.0123679662938399,-0.0123679662938399,-100.0
Loire,5.0,8.0,-3.0,-37.5,10040.252524771851,0.0004979954426110032,0.000796792708177605,-0.00029879726556660186,-37.49999999999999
Nord,0.0,3.0,-3.0,-100.0,13709.193951954549,0.0,0.0002188312464258545,-0.0002188312464258545,-100.0
Hrpelje-Kozina,0.0,3.0,-3.0,-100.0,411.05782627929693,0.0,0.007298243235397306,-0.007298243235397306,-100.0
Veliko Tarnovo,0.0,3.5,-3.5,-100.0,8919.992919915894,0.0,0.00039237699305629057,-0.00039237699305629057,-100.0
Laško,0.0,3.5,-3.5,-100.0,424.5714782698134,0.0,0.008243606033695379,-0.008243606033695379,-100.0
Licko-Senjska,0.0,3.5,-3.5,-100.0,7452.132676670517,0.0,0.00046966420914069647,-0.00046966420914069647,-100.0
Kosovska Mitrovica,0.0,4.0,-4.0,-100.0,619.266761100333,0.0,0.006459251894761269,-0.006459251894761269,-100.0
Jász-Nagykun-Szolnok,0.0,4.0,-4.0,-100.0,11386.35213488377,0.0,0.00035129776003900404,-0.00035129776003900404,-100.0
Vidin,0.0,4.0,-4.0,-100.0,6232.259860127085,0.0,0.0006418217612508914,-0.0006418217612508914,-100.0
Hîncesti,0.0,4.0,-4.0,-100.0,2692.843937483672,0.0,0.0014854184248559907,-0.0014854184248559907,-100.0
Botosani,0.0,4.0,-4.0,-100.0,12090.154440221702,0.0,0.00033084771743632503,-0.00033084771743632503,-100.0
Alessandria,0.0,4.0,-4.0,-100.0,6947.635005224548,0.0,0.0005757354836562431,-0.0005757354836562431,-100.0
Tivat,0.0,4.0,-4.0,-100.0,60.5043112387094,0.0,0.0661109914005745,-0.0661109914005745,-100.0
Žetale,0.0,4.0,-4.0,-100.0,91.74180296596323,0.0,0.04360062556743107,-0.04360062556743107,-100.0
Grad Sofiya,0.0,4.0,-4.0,-100.0,2303.149680081992,0.0,0.0017367520811142419,-0.0017367520811142419,-100.0
Kecskemét,0.0,4.0,-4.0,-100.0,520.7905315142681,0.0,0.0076806311903741134,-0.0076806311903741134,-100.0
Hajdú-Bihar,0.0,4.0,-4.0,-100.0,12061.104635582247,0.0,0.0003316445815584205,-0.0003316445815584205,-100.0
Braslovce,0.0,4.0,-4.0,-100.0,126.6101951160968,0.0,0.03159303242785583,-0.03159303242785583,-100.0
Komenda,0.0,4.0,-4.0,-100.0,54.01527559505947,0.0,0.07405312582290817,-0.07405312582290817,-100.0
Grevenmacher,0.0,4.0,-4.0,-100.0,1104.3567737193075,0.0,0.0036220178978289795,-0.0036220178978289795,-100.0
Trebnje,0.0,4.0,-4.0,-100.0,662.234962087419,0.0,0.006040152255615849,-0.006040152255615849,-100.0
Lubusz,0.0,4.0,-4.0,-100.0,37114.305697036325,0.0,0.0001077751536739487,-0.0001077751536739487,-100.0
Litija,0.0,4.0,-4.0,-100.0,458.46094913091474,0.0,0.008724843430138669,-0.008724843430138669,-100.0
Dolenjske Toplice,0.0,4.0,-4.0,-100.0,220.1199172008085,0.0,0.01817191306841591,-0.01817191306841591,-100.0
Caras-Severin,0.0,4.0,-4.0,-100.0,16887.075894253176,0.0,0.00023686753260588093,-0.00023686753260588093,-100.0
Banskobystrický,0.0,4.0,-4.0,-100.0,21472.95847757877,0.0,0.00018628080542216132,-0.00018628080542216132,-100.0
